sort,title,releaseYear,aspectRatio,runtime,director,writer,cinematographer,editor,composer,publisher,format,resolution,hdr,discs,steelbook,slipcover,color,animation,mpaa,mpaa_cert,distributor,mpaa_reason_raw,mpaa_reason,alt_title,caseReplacement,action,sciFi,western,crime,noir,period,wuxia,fantasy,mystery,dark,gritty,comedy,heist,horror,martial arts,violent
0,2001: A Space Odyssey,1968,2.2,149,Stanley Kubrick,"Stanley Kubrick,Arthur C. Clarke",Geoffrey Unsworth,Ray Lovejoy,,Warner Bros. Entertainment Inc,Blu-Ray,1080,,1,,,,,g,22197,MGM Film Company,,,,,,TRUE,,,,,,,,,,,,,,
1,Akira,1988,1.85,124,Katsuhiro Otomo,"Katsuhiro Otomo,Izo Hashimoto",Katsuji Misawa,Takeshi Seyama,Shoji Yamashiro,FUNimation,4K_UHD,2160,hdr10,2,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE
2,Alien,1979,2.35,116,Ridley Scott,Dan O'Bannon,Derek Vanlint,"David Crowther,Terry Rawlings,Peter Weatherley",Jerry Goldsmith,Twentieth Century Fox Home Entertainment LLC,Blu-Ray,1080,,1,,TRUE,,,r,25541,Twentieth Century Fox Film Corp.,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,
3,Aliens,1986,1.85,137,James Cameron,James Cameron,Adrian Biddle,Ray Lovejoy,James Horner,Twentieth Century Fox Home Entertainment LLC,Blu-Ray,1080,,1,,TRUE,,,r,27850,Twentieth Century Fox Film Corp.,,,Alien 2,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,
4,Alphaville,1965,1.37,99,Jean-Luc Godard,Jean-Luc Godard,Raoul Coutard,Agnès Guillemot,Paul Misraki,Kino Lorber Studio Classics,4K_UHD,2160,dolby vision,2,,TRUE,FALSE,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,
5,Amelie,2001,2.39,122,Jean-Pierre Jeunet,Guillaume Laurant,Bruno Delbonnel,Herve Schneid,Yann Tiersen,Sony Pictures Home Entertainment,Blu-Ray,1080,,1,TRUE,,,,r,38604,Sony Pictures Classics,Rated R for sexual content.,sexual content,Amelie From Montmartre; Amelie In Montmartre; Le Fabuleux Destin D'Amelie Poulain,,,,,,,TRUE,,TRUE,,,,TRUE,,,,
6,The American,2010,2.35,105,Anton Corbijn,Rowan Joffe,Martin Ruhe,Andrew Hulme,Herbert Grönemeyer,Universal Studios,Blu-Ray,1080,,1,,,,,r,46049,Focus Features LLC,"Rated R for violence, sexual content and nudity. ","violence,sexual content,nudity",,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,
7,American Gangster,2007,1.85,158,Ridley Scott,Steven Zaillian,Harris Savides,Pietro Scalia,Marc Streitenfeld,Universal Studios,Blu-Ray,1080,,1,,,,,r,43495,Universal Studios,"Rated R for violence, pervasive drug content and language, nudity and sexuality. ","violence,pervasive drug content and language,nudity,sexuality",,,TRUE,,,TRUE,,,,,,,TRUE,,,,,TRUE
8,American Movie,1999,1.33,105,Chris Smith,,Chris Smith,"Barry Poltermann,Jun Diaz",Mike Schank,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,1,,TRUE,,,r,36811,Sony Pictures Classics,Rated R for language and some drug content. ,"language,some drug content",,,,,,,,,,,,,,,,,,
9,Annihiliation,2018,2.39,115,Alex Garland,Alex Garland,Rob Hardy,Barney Pilling,"Ben Salisbury,Geoff Barrow",Paramount Pictures,4K_UHD,2160,hdr10,2,,,,,r,51117,Paramount Pictures Corporation,"Rated R for violence, bloody images, language and some sexuality. ","violence,bloody images,language,some sexuality",,,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE
